instrument,manufacturer_or_lab,measures,dataset_columns,accuracy,response_time_or_rate,campaigns,source
MMS (Meteorological Measurement System),NASA Ames Research Center (PI: T. Paul Bui),"Air temperature, static pressure, 3-D wind, EDR, (MACPEX) position/altitude/TAS","Tair_C, P_hPa, Wind_U_ms, Wind_V_ms, Wind_W_ms, EDR_m23s1 (ATTREX/POSIDON via log10 kW/kg conversion); Lat, Lon, Alt_m (MACPEX MMS-FlightPath only)","P/T: RMS +/-0.3 hPa, +/-0.3 K (identical across ATTREX/MACPEX/POSIDON headers). Wind: 1-sigma +/-1.0 m/s. MACPEX altitude: +/-2.5-35 m (altitude-dependent). MACPEX TAS: +/-1 m/s. No Lat/Lon uncertainty given (MACPEX). CRYSTAL-FACE-NASA's MM file: no uncertainty field.",1 Hz (desampled from 20 Hz raw per MACPEX header),"ATTREX, POSIDON, MACPEX, CRYSTAL-FACE-NASA (Tair_C/P_hPa only, no uncertainty)","data/raw/ATTREX/MMS/*.ict, data/raw/MACPEX/MMS-Met/*.ict + MMS-FlightPath/*.ict, data/raw/POSIDON/MMS/*.ict headers; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md rows for ATTREX/MACPEX/POSIDON/CRYSTAL-FACE-NASA MM"
Diode Laser Hygrometer (DLH),NASA Langley Research Center (PI: Glenn S. Diskin),Water vapor mixing ratio,"Si_DLH, qv_dlh, H2O_DLH_ppmv",ATTREX/POSIDON: 5% of reading or 1 ppmv. MACPEX: 10% of reading.,1 Hz,"ATTREX, MACPEX, POSIDON, MC3E (config.yaml Si_DLH campaign list; no raw MC3E .ict file inspected -- MC3E uses UND format, not ICARTT)","data/raw/ATTREX/DLH-H2O/*.ict, data/raw/MACPEX/DLH/*.ict, data/raw/POSIDON/DLH-H2O/*.ict headers; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md; config.yaml standardized_columns (Si_DLH campaign list)"
NOAA-H2O (NOAA tunable diode laser hygrometer),NOAA (ESRL/Chemical Sciences Div.),Water vapor mixing ratio,"Si_NOAA, qv_noaa, H2O_NOAA_ppmv","+/-(5% + 0.23 ppm) [WV channel], +/-(6% + 0.35 ppm) [eTW channel]; free text also cites ~5%",1 Hz,ATTREX,data/raw/ATTREX/NOAA-H2O/*.ict header; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md
UCATS-H2O (UAS Chromatograph for Atmospheric Trace Species -- water vapor channel),NOAA,Water vapor mixing ratio,"Si_UCATS, qv_ucats, H2O_UCATS_ppmv",5% + 1 ppm (header field); ~5% (free-text NCOM),~1.5 s native sample interval,ATTREX,"parsers/attrex.py:65,94-96; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md"
JPL Laser Hygrometer (JLH),NASA Jet Propulsion Laboratory (PI: Robert Herman; MIDCIX also lists Robert Troy),Water vapor mixing ratio,"Si_JLH, qv_jlh",MACPEX: 15% of reading. CRYSTAL-FACE-NASA and MIDCIX: no uncertainty field in raw header.,1 Hz (implied by integer-second UT(s) timestamps),"CRYSTAL-FACE-NASA, MACPEX, MIDCIX","data/raw/CRYSTAL-FACE-NASA/JW/*.WB57, data/raw/MACPEX/JLH/*.ict, data/raw/MidCix/JW*.WB57 headers; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md"
Harvard Water Vapor (HW),Harvard University (Anderson group),Water vapor mixing ratio (Lyman-alpha),"Si_HW, qv_hw",+/-5%,5-10 s resolution,CRYSTAL-FACE-NASA,"parsers/crystal_face_nasa.py:10,205; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md"
Harvard Water Vapor (HWV),Harvard University (PI: D.S. Sayres et al.),Water vapor mixing ratio (Lyman-alpha + HHH),"Si_HWV, qv_hwv","Per-record +/- uncertainty columns provided directly in data; header states basis is calibration uncertainty, instrument precision, and potential instrument bias -- no single blanket percentage",1 Hz,MACPEX,data/raw/MACPEX/HWV/*.ict header; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md
ALIAS (Aircraft Laser Infrared Absorption Spectrometer),NASA Jet Propulsion Laboratory,Water vapor mixing ratio (one of several trace gases ALIAS measures; only H2O channel used here),"Si_ALIAS, qv_alias",Not found in repo,Not found in repo,CRYSTAL-FACE-NASA,"parsers/crystal_face_nasa.py:9,246,257-259 (no raw uncertainty field found)"
FISH (Fast In-situ Stratospheric Hygrometer),"Forschungszentrum Julich, Germany [external source, not in repo]",Water vapor mixing ratio (Lyman-alpha photofragment fluorescence),Si_FISH (declared in config.yaml but never loaded -- always NaN),"External literature: ~5-8% total accuracy (Julich group publications, not raw-traceable to this dataset's archive)",External literature: ~1 Hz,"MACPEX (declared, not implemented)","config.yaml:146; parsers/macpex.py:602,656-657 (placeholder only); manufacturer/accuracy from web search, not in repo"
Ophir TDL (tunable diode laser hygrometer),"Ophir Corporation, Littleton CO -- inferred from raw header text 'Ophir', not independently confirmed via web search",Water vapor mixing ratio / dew-frost point,"Si_ophir_tdl, qv_ophir_tdl",Not found in repo. Repo documents a systematic dry bias of ~0.32 Si vs. co-located chilled mirror on 21/32 flights (closed-path inlet losses suspected near 0C).,1 Hz (implied),IPHEX,"data/raw/IPHEX/*.iphex header line 5 ('Ophir'); config.yaml:94-95,98; parsers/iphex.py:23,30-34"
